Category,Word,FirstLetter,Word,Freq
Fluss,Bollbach,B,Bollbach,1
Fluss,Bölle,B,Bölle,3
Fluss,Bollenbach,B,Bollenbach,1
Fluss,Böllertsee,B,Böllertsee,1
Fluss,Böllinger Bach,B,Böllinger Bach,1
Fluss,Bombecker Aa,B,Bombecker Aa,1
Fluss,Bomlitz,B,Bomlitz,11
Fluss,Bordesholmer See,B,Bordesholmer See,1
Fluss,Börgermoor,B,Börgermoor,1
Fluss,Borgsee,B,Borgsee,1
Fluss,Borgstedter Enge,B,Borgstedter Enge,1
Fluss,Borgwallsee,B,Borgwallsee,1
Fluss,Borke,B,Borke,37
Fluss,Borngraben,B,Borngraben,1
Fluss,Bos,B,Bos,20
Fluss,Bossee,B,Bossee,1
Fluss,Bostalsee,B,Bostalsee,5
Fluss,Bottenbach,B,Bottenbach,1
Fluss,Bottwar,B,Bottwar,3
Fluss,Bovenau,B,Bovenau,1
Fluss,Bövinghauser Bach,B,Bövinghauser Bach,1
Fluss,Boye,B,Boye,8
Fluss,Brabecke,B,Brabecke,1
Fluss,Bracht,B,Bracht,28
Fluss,Brack,B,Brack,10
Fluss,Brahmsee,B,Brahmsee,1
Fluss,Brake,B,Brake,66
Fluss,Brandbach,B,Brandbach,1
Fluss,Brandseen,B,Brandseen,1
Fluss,Brandstrom,B,Brandstrom,1
Fluss,Brandweiher,B,Brandweiher,2
Fluss,Braubach,B,Braubach,9
Fluss,Braunau,B,Braunau,74
Fluss,Brebach,B,Brebach,9
Fluss,Bredenbeck,B,Bredenbeck,2
Fluss,Bredenbek,B,Bredenbek,5
Fluss,Breg,B,Breg,2
Fluss,Brehme,B,Brehme,45
Fluss,Breidenstein,B,Breidenstein,5
Fluss,Breitach,B,Breitach,5
Fluss,Breitbach,B,Breitbach,11
Fluss,Breite,B,Breite,1947
Fluss,Breitenbach,B,Breitenbach,50
Fluss,Breitenbachtalsperre,B,Breitenbachtalsperre,1
Fluss,Breitenborn,B,Breitenborn,1
Fluss,Breitensee,B,Breitensee,3
Fluss,Breiteteich,B,Breiteteich,1
Fluss,Breitling,B,Breitling,17
Fluss,Bremke,B,Bremke,4
Fluss,Brend,B,Brend,4
Fluss,Brenz,B,Brenz,35
Fluss,Brettmühlenteich,B,Brettmühlenteich,1
Fluss,Brieltal,B,Brieltal,1
Fluss,Briese,B,Briese,1
Fluss,Brigach,B,Brigach,2
Fluss,Brigachquelle,B,Brigachquelle,1
Fluss,Brillensee,B,Brillensee,1
Fluss,Britzer Verbindungskanal,B,Britzer Verbindungskanal,1
Fluss,Brodenbach,B,Brodenbach,1
Fluss,Broklandsau,B,Broklandsau,1
Fluss,Bröl,B,Bröl,1
Fluss,Brombach,B,Brombach,21
Fluss,Bruchbach,B,Bruchbach,5
Fluss,Brucher Talsperre,B,Brucher Talsperre,1
Fluss,Bruchgraben,B,Bruchgraben,3
Fluss,Bruchsee,B,Bruchsee,1
Fluss,Brück-Neuendorfer Kanal,B,Brück-Neuendorfer Kanal,1
Fluss,Bruckbach,B,Bruckbach,3
Fluss,Brückenbach,B,Brückenbach,2
Fluss,Brüdenbach,B,Brüdenbach,1
Fluss,Brugga,B,Brugga,1
Fluss,Brühlbach,B,Brühlbach,1
Fluss,Brühlgraben,B,Brühlgraben,1
Fluss,Brunau,B,Brunau,2
Fluss,Brünn,B,Brünn,101
Fluss,Brunnbach,B,Brunnbach,1
Fluss,Brunnenbach,B,Brunnenbach,5
Fluss,Brunnengraben,B,Brunnengraben,1
Fluss,Brunngraben,B,Brunngraben,1
Fluss,Brunnthal,B,Brunnthal,4
Fluss,Bruno,B,Bruno,514
Fluss,Brunosee,B,Brunosee,1
Fluss,Bubach,B,Bubach,3
Fluss,Bubenbach,B,Bubenbach,2
Fluss,Buchbach,B,Buchbach,18
Fluss,Büchelbach,B,Büchelbach,1
Fluss,Buchenbach,B,Buchenbach,8
Fluss,Buchenegger Wasserfälle,B,Buchenegger Wasserfälle,1
Fluss,Buckau,B,Buckau,16
Fluss,Bückeburger Aue,B,Bückeburger Aue,1
Fluss,Buckowsee,B,Buckowsee,1
Fluss,Buhlbach,B,Buhlbach,1
Fluss,Buhlbachsee,B,Buhlbachsee,1
Fluss,Bühler,B,Bühler,127
Fluss,Bühlot,B,Bühlot,2
Fluss,Bullengraben,B,Bullengraben,1
Fluss,Bullerbach,B,Bullerbach,5
Fluss,Bultensee,B,Bultensee,1
Fluss,Bültsee,B,Bültsee,1
Fluss,Burbach,B,Burbach,34
Fluss,Burgbachwasserfall,B,Burgbachwasserfall,1
Fluss,Burgbeckkanal,B,Burgbeckkanal,1
Fluss,Burgdorfer Aue,B,Burgdorfer Aue,1
Fluss,Burggraben,B,Burggraben,30
Fluss,Bürgleinsbach,B,Bürgleinsbach,1
Fluss,Burgsee,B,Burgsee,5
Fluss,Burgstallbach,B,Burgstallbach,1
Fluss,Burgteich,B,Burgteich,1
Fluss,Burgwallgraben,B,Burgwallgraben,1
Fluss,Buschbach,B,Buschbach,1
Fluss,Buschgraben,B,Buschgraben,1
Fluss,Butterbach,B,Butterbach,1
Fluss,Butterwasser,B,Butterwasser,1
Fluss,Büttnau,B,Büttnau,1
Fluss,Butzbach,B,Butzbach,31
Fluss,Butzer See,B,Butzer See,1
Fluss,Bützower See,B,Bützower See,2
Fluss,Bützrhin,B,Bützrhin,1
Fluss,Bützsee,B,Bützsee,1
Fluss,Buxach,B,Buxach,1
Fluss,Caarpsee,C,Caarpsee,1
Fluss,Calle,C,Calle,38
Fluss,Cambser See,C,Cambser See,1
Fluss,Caputher See,C,Caputher See,1
Fluss,Cederbach,C,Cederbach,1
Fluss,Chamb,C,Chamb,2
Fluss,Chemnitz,C,Chemnitz,1738
Fluss,Chemnitzbach,C,Chemnitzbach,1
Fluss,Chiemsee,C,Chiemsee,69
Fluss,Cloer,C,Cloer,1
Fluss,Cospudener See,C,Cospudener See,3
Fluss,Cospudener See,C,Cospudener See,5
Fluss,Cottbuser Ostsee,C,Cottbuser Ostsee,3
Fluss,Cottbuser Ostsee,C,Cottbuser Ostsee,3
Fluss,Creußen,C,Creußen,3
Fluss,Culmitz,C,Culmitz,2
Fluss,D16,D,D16,2
Fluss,Dahle,D,Dahle,14
Fluss,Dahme,D,Dahme,37
Fluss,Dahmer Kanal,D,Dahmer Kanal,1
Fluss,Daisbach,D,Daisbach,1
Fluss,Dalke,D,Dalke,4
Fluss,Dambach,D,Dambach,2
Fluss,Dämeritzsee,D,Dämeritzsee,3
Fluss,Dammbach,D,Dammbach,4
Fluss,Dammgraben,D,Dammgraben,3
Fluss,Dammsee,D,Dammsee,1
Fluss,Darmbach,D,Darmbach,3
Fluss,Darnsee,D,Darnsee,1
Fluss,Datteln-Hamm-Kanal,D,Datteln-Hamm-Kanal,3
Fluss,Dattenbach,D,Dattenbach,1
Fluss,Dautphe,D,Dautphe,4
Fluss,Decksteiner Weiher,D,Decksteiner Weiher,1
Fluss,Degenbachsee,D,Degenbachsee,1
Fluss,Deixlfurter See,D,Deixlfurter See,1
Fluss,Delme,D,Delme,9
Fluss,Demnitz,D,Demnitz,1
Fluss,Dennenweiher,D,Dennenweiher,1
Fluss,Denningsgraben,D,Denningsgraben,1
Fluss,Dentelbach,D,Dentelbach,1
Fluss,Der Bach,D,Der Bach,57
Fluss,Der Hals,D,Der Hals,11
Fluss,Der Kanal,D,Der Kanal,68
Fluss,Der Kanal,D,Der Kanal,78
Fluss,Der See,D,Der See,210
Fluss,Der Stau,D,Der Stau,10
Fluss,Der Strand,D,Der Strand,26
Fluss,Der Strand,D,Der Strand,47
Fluss,Der Strom,D,Der Strom,15
Fluss,Der Strom,D,Der Strom,47
Fluss,Der tiefe Graben,D,Der tiefe Graben,1
Fluss,Derenbach,D,Derenbach,1
Fluss,Dernbach,D,Dernbach,8
Fluss,Dettelbach,D,Dettelbach,19
Fluss,Dhron,D,Dhron,5
Fluss,Dhünn,D,Dhünn,6
Fluss,Dichtelbach,D,Dichtelbach,2
Fluss,Dickopsbach,D,Dickopsbach,1
Fluss,Die Bänke,D,Die Bänke,6
Fluss,Die Fahrt,D,Die Fahrt,56
Fluss,Die Fahrt,D,Die Fahrt,139
Fluss,Die Hölle,D,Die Hölle,6
Fluss,Die Rolle,D,Die Rolle,146
Fluss,Die Rolle,D,Die Rolle,235
Fluss,Die Wild,D,Die Wild,2
Fluss,Diebach,D,Diebach,4
Fluss,Diebelbach,D,Diebelbach,1
Fluss,Dieffenbach,D,Dieffenbach,3
Fluss,Dieksee,D,Dieksee,3
Fluss,Diemel,D,Diemel,20
Fluss,Diemelsee,D,Diemelsee,18
Fluss,Dienhauser Weiher,D,Dienhauser Weiher,1
Fluss,Diepold,D,Diepold,8
Fluss,Dierbach,D,Dierbach,2
Fluss,Diersfordter Waldsee,D,Diersfordter Waldsee,1
Fluss,Diesenbach,D,Diesenbach,2
Fluss,Diestel,D,Diestel,4
Fluss,Diete,D,Diete,1
Fluss,Dietenbach,D,Dietenbach,5
Fluss,Dietlhofer See,D,Dietlhofer See,1
Fluss,Dill,D,Dill,53
Fluss,Dimbach,D,Dimbach,4
Fluss,Dinkel,D,Dinkel,41
Fluss,Dinkelquelle,D,Dinkelquelle,1
Fluss,Dippach,D,Dippach,2
Fluss,Dissau,D,Dissau,1
Fluss,Dobbertiner See,D,Dobbertiner See,3
Fluss,Dober,D,Dober,3
Fluss,Doberbach,D,Doberbach,1
Fluss,Dobersdorfer See,D,Dobersdorfer See,1
Fluss,Dobra,D,Dobra,7
Fluss,Dohlgraben,D,Dohlgraben,1
Fluss,Doktorsee,D,Doktorsee,1
Fluss,Dolgensee,D,Dolgensee,1
Fluss,Dollart,D,Dollart,7
Fluss,Döllnitz,D,Döllnitz,4
Fluss,Dombach,D,Dombach,2
Fluss,Domjüchsee,D,Domjüchsee,1
Fluss,Donau,D,Donau,693
Fluss,Doppelgraben,D,Doppelgraben,3
Fluss,Dorche,D,Dorche,1
Fluss,Dörenbach,D,Dörenbach,1
Fluss,Dorfbach,D,Dorfbach,11
Fluss,Dorfen,D,Dorfen,102
Fluss,Dorfgraben,D,Dorfgraben,6
Fluss,Dorfsee,D,Dorfsee,1
Fluss,Dorfteich,D,Dorfteich,17
Fluss,Dorfweiher,D,Dorfweiher,2
Fluss,Dorla,D,Dorla,2
Fluss,Dornbach,D,Dornbach,7
Fluss,Dörnbach,D,Dörnbach,2
Fluss,Dörnthaler Teich,D,Dörnthaler Teich,1
Fluss,Dörrenbach,D,Dörrenbach,1
Fluss,Dortmund-Ems-Kanal,D,Dortmund-Ems-Kanal,13
Fluss,Dosenbach,D,Dosenbach,2
Fluss,Dosse,D,Dosse,16
Fluss,Dowesee,D,Dowesee,1
Fluss,Drachensee,D,Drachensee,2
Fluss,Dreibrunnen,D,Dreibrunnen,1
Fluss,Dreifelder Weiher,D,Dreifelder Weiher,2
Fluss,Dreisam,D,Dreisam,8
Fluss,Dreisbach,D,Dreisbach,6
Fluss,Drewitzer See,D,Drewitzer See,1
Fluss,Druschesee,D,Druschesee,1
Fluss,Duffesbach,D,Duffesbach,1
Fluss,Dumme,D,Dumme,25
Fluss,Dümmer,D,Dümmer,24
Fluss,Dümmersee,D,Dümmersee,1
Fluss,Dunke,D,Dunke,7
Fluss,Dünnbach,D,Dünnbach,1
Fluss,Dünnenriede,D,Dünnenriede,1
Fluss,Dünsener Bach,D,Dünsener Bach,1
Fluss,Düpenau,D,Düpenau,3
Fluss,Durach,D,Durach,3
Fluss,Durbach,D,Durbach,7
Fluss,Durchstich,D,Durchstich,16
Fluss,Durlesbach,D,Durlesbach,1
Fluss,Dürnach,D,Dürnach,1
Fluss,Dürnbach,D,Dürnbach,5
Fluss,Dürrbach,D,Dürrbach,4
Fluss,Duse,D,Duse,2
Fluss,Düssel,D,Düssel,10
Fluss,Düsterbeck,D,Düsterbeck,1
Fluss,Düte,D,Düte,4
Fluss,Dutenhofener See,D,Dutenhofener See,1
Fluss,Ebach,E,Ebach,2
Fluss,Ebelsbach,E,Ebelsbach,3
Fluss,Eberbach,E,Eberbach,51
Fluss,Ebersbach,E,Ebersbach,41
